provincia,marca_modelo,fecha_matriculacion,kilometraje,nombre_vendedor,tipo_vendedor,distintivo_ambiental,garantia,precio_contado,precio_nuevo,consumo_medio,consumo_carretera,consumo_urbano,carroceria,num_puertas,num_plazas,peso,combustible,potencia_cv,cilindrada,tipo_cambio,num_marchas,largo,ancho,alto,capacidad_maletero,batalla,CO2,deposito,cilindros,sobrealimentacion,traccion,potencia_kw,par,velocidad_max,aceleracion
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
Ciudad Real,Detalles VOLKSWAGEN T-Roc (2019) ,Matriculado: 05/2019,78054,FLEXICAR CIUDAD REAL,Profesional,C,12 meses,18490,24659,"Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.780,Combustible Gasolina,Potencia (CV)115,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4234 mm Largo,1819 mm Ancho,1573 mm Alto,Capacidad del maletero (l)445/1.290,"Batalla (mm)
2.590",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)85,Par (Nm)200,Velocidad máxima (km/h)187,"Aceleración 0-100 km/h (s)10,10"
Alicante,Detalles BMW X3 (2023) ,Matriculado: 12/2023,28000,BMW HISPAMOVIL,Profesional,ECO,24 meses,79500,82000,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.580,Combustible Diesel,Potencia (CV)340,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4713 mm Largo,1897 mm Ancho,1676 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.864",CO2 (g/km) - g/km,"Depósito de combustible (l) 68,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)250,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,90"
Murcia,Detalles AUDI A1 (2023) ,Matriculado: 08/2023,12280,AUDI HUERTAS MOTOR MURCIA,Profesional,C,12 meses,24000,no disponible,,,,Berlina mediana o grande,5 Puertas,,,Gasolina,110,,Manual,,,,,,,,,,,,,,,
Madrid,Detalles MERCEDES-BENZ EQB (2023) ,Matriculado: 08/2023,18744,STAR MADRID,Profesional,0 EMISIONES,36 meses,38990,57005,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.520,Combustible Corriente eléctrica,Potencia (CV)190,Cilindrada (cm3) 0,"Tipo de transmisión Directo, sin caja de cambios",Número de marchas1,4684 mm Largo,1834 mm Ancho,1667 mm Alto,Capacidad del maletero (l)495/1.710,"Batalla (mm)
2.829",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros - cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)140,Par (Nm)375,Velocidad máxima (km/h)160,"Aceleración 0-100 km/h (s)9,20"
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
Ciudad Real,Detalles VOLKSWAGEN T-Roc (2019) ,Matriculado: 05/2019,78054,FLEXICAR CIUDAD REAL,Profesional,C,12 meses,18490,24659,"Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.780,Combustible Gasolina,Potencia (CV)115,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4234 mm Largo,1819 mm Ancho,1573 mm Alto,Capacidad del maletero (l)445/1.290,"Batalla (mm)
2.590",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)85,Par (Nm)200,Velocidad máxima (km/h)187,"Aceleración 0-100 km/h (s)10,10"
Alicante,Detalles BMW X3 (2023) ,Matriculado: 12/2023,28000,BMW HISPAMOVIL,Profesional,ECO,24 meses,79500,82000,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.580,Combustible Diesel,Potencia (CV)340,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4713 mm Largo,1897 mm Ancho,1676 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.864",CO2 (g/km) - g/km,"Depósito de combustible (l) 68,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)250,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,90"
Murcia,Detalles AUDI A1 (2023) ,Matriculado: 08/2023,12280,AUDI HUERTAS MOTOR MURCIA,Profesional,C,12 meses,24000,no disponible,,,,Berlina mediana o grande,5 Puertas,,,Gasolina,110,,Manual,,,,,,,,,,,,,,,
Madrid,Detalles MERCEDES-BENZ EQB (2023) ,Matriculado: 08/2023,18744,STAR MADRID,Profesional,0 EMISIONES,36 meses,38990,57005,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.520,Combustible Corriente eléctrica,Potencia (CV)190,Cilindrada (cm3) 0,"Tipo de transmisión Directo, sin caja de cambios",Número de marchas1,4684 mm Largo,1834 mm Ancho,1667 mm Alto,Capacidad del maletero (l)495/1.710,"Batalla (mm)
2.829",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros - cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)140,Par (Nm)375,Velocidad máxima (km/h)160,"Aceleración 0-100 km/h (s)9,20"
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
Ciudad Real,Detalles VOLKSWAGEN T-Roc (2019) ,Matriculado: 05/2019,78054,FLEXICAR CIUDAD REAL,Profesional,C,12 meses,18490,24659,"Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.780,Combustible Gasolina,Potencia (CV)115,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4234 mm Largo,1819 mm Ancho,1573 mm Alto,Capacidad del maletero (l)445/1.290,"Batalla (mm)
2.590",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)85,Par (Nm)200,Velocidad máxima (km/h)187,"Aceleración 0-100 km/h (s)10,10"
Alicante,Detalles BMW X3 (2023) ,Matriculado: 12/2023,28000,BMW HISPAMOVIL,Profesional,ECO,24 meses,79500,82000,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.580,Combustible Diesel,Potencia (CV)340,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4713 mm Largo,1897 mm Ancho,1676 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.864",CO2 (g/km) - g/km,"Depósito de combustible (l) 68,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)250,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,90"
Murcia,Detalles AUDI A1 (2023) ,Matriculado: 08/2023,12280,AUDI HUERTAS MOTOR MURCIA,Profesional,C,12 meses,24000,no disponible,,,,Berlina mediana o grande,5 Puertas,,,Gasolina,110,,Manual,,,,,,,,,,,,,,,
Madrid,Detalles MERCEDES-BENZ EQB (2023) ,Matriculado: 08/2023,18744,STAR MADRID,Profesional,0 EMISIONES,36 meses,38990,57005,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.520,Combustible Corriente eléctrica,Potencia (CV)190,Cilindrada (cm3) 0,"Tipo de transmisión Directo, sin caja de cambios",Número de marchas1,4684 mm Largo,1834 mm Ancho,1667 mm Alto,Capacidad del maletero (l)495/1.710,"Batalla (mm)
2.829",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros - cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)140,Par (Nm)375,Velocidad máxima (km/h)160,"Aceleración 0-100 km/h (s)9,20"
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
Ciudad Real,Detalles VOLKSWAGEN T-Roc (2019) ,Matriculado: 05/2019,78054,FLEXICAR CIUDAD REAL,Profesional,C,12 meses,18490,24659,"Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.780,Combustible Gasolina,Potencia (CV)115,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4234 mm Largo,1819 mm Ancho,1573 mm Alto,Capacidad del maletero (l)445/1.290,"Batalla (mm)
2.590",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)85,Par (Nm)200,Velocidad máxima (km/h)187,"Aceleración 0-100 km/h (s)10,10"
Alicante,Detalles BMW X3 (2023) ,Matriculado: 12/2023,28000,BMW HISPAMOVIL,Profesional,ECO,24 meses,79500,82000,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.580,Combustible Diesel,Potencia (CV)340,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4713 mm Largo,1897 mm Ancho,1676 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.864",CO2 (g/km) - g/km,"Depósito de combustible (l) 68,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)250,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,90"
Murcia,Detalles AUDI A1 (2023) ,Matriculado: 08/2023,12280,AUDI HUERTAS MOTOR MURCIA,Profesional,C,12 meses,24000,no disponible,,,,Berlina mediana o grande,5 Puertas,,,Gasolina,110,,Manual,,,,,,,,,,,,,,,
Madrid,Detalles MERCEDES-BENZ EQB (2023) ,Matriculado: 08/2023,18744,STAR MADRID,Profesional,0 EMISIONES,36 meses,38990,57005,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.520,Combustible Corriente eléctrica,Potencia (CV)190,Cilindrada (cm3) 0,"Tipo de transmisión Directo, sin caja de cambios",Número de marchas1,4684 mm Largo,1834 mm Ancho,1667 mm Alto,Capacidad del maletero (l)495/1.710,"Batalla (mm)
2.829",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros - cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)140,Par (Nm)375,Velocidad máxima (km/h)160,"Aceleración 0-100 km/h (s)9,20"
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
Ciudad Real,Detalles VOLKSWAGEN T-Roc (2019) ,Matriculado: 05/2019,78054,FLEXICAR CIUDAD REAL,Profesional,C,12 meses,18490,24659,"Consumo medio 5,10 litros/100 km","Consumo en carretera 4,50 litros/100 km","Consumo urbano 6,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)1.780,Combustible Gasolina,Potencia (CV)115,Cilindrada (cm3) 999,Tipo de transmisión Manual,Número de marchas6,4234 mm Largo,1819 mm Ancho,1573 mm Alto,Capacidad del maletero (l)445/1.290,"Batalla (mm)
2.590",CO2 (g/km) 120 g/km,"Depósito de combustible (l) 50,00 litros",Nº de cilindros 3 cilindros,Sobrealimentación Turbo,TracciónTracción delantera,Potencia (KW)85,Par (Nm)200,Velocidad máxima (km/h)187,"Aceleración 0-100 km/h (s)10,10"
Alicante,Detalles BMW X3 (2023) ,Matriculado: 12/2023,28000,BMW HISPAMOVIL,Profesional,ECO,24 meses,79500,82000,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.580,Combustible Diesel,Potencia (CV)340,Cilindrada (cm3) 2.993,Tipo de transmisión Automática secuencial,Número de marchas8,4713 mm Largo,1897 mm Ancho,1676 mm Alto,Capacidad del maletero (l)550/1.600,"Batalla (mm)
2.864",CO2 (g/km) - g/km,"Depósito de combustible (l) 68,00 litros",Nº de cilindros 6 cilindros,Sobrealimentación Turbo de geometría variable,TracciónTodo terreno tracción total permanente,Potencia (KW)250,Par (Nm)700,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)4,90"
Murcia,Detalles AUDI A1 (2023) ,Matriculado: 08/2023,12280,AUDI HUERTAS MOTOR MURCIA,Profesional,C,12 meses,24000,no disponible,,,,Berlina mediana o grande,5 Puertas,,,Gasolina,110,,Manual,,,,,,,,,,,,,,,
Madrid,Detalles MERCEDES-BENZ EQB (2023) ,Matriculado: 08/2023,18744,STAR MADRID,Profesional,0 EMISIONES,36 meses,38990,57005,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CarroceríaTodo Terreno,Número de puertas5,Número de plazas5,Peso/Masa max. autorizado (kg)2.520,Combustible Corriente eléctrica,Potencia (CV)190,Cilindrada (cm3) 0,"Tipo de transmisión Directo, sin caja de cambios",Número de marchas1,4684 mm Largo,1834 mm Ancho,1667 mm Alto,Capacidad del maletero (l)495/1.710,"Batalla (mm)
2.829",CO2 (g/km) - g/km,"Depósito de combustible (l) 0,00 litros",Nº de cilindros - cilindros,Sobrealimentación -,TracciónTracción delantera,Potencia (KW)140,Par (Nm)375,Velocidad máxima (km/h)160,"Aceleración 0-100 km/h (s)9,20"
Madrid,Detalles RENAULT Scenic (2018) ,Matriculado: 08/2018,101353,CLICARS MADRID,Profesional,C,12 meses,13490,no disponible,"5,40","4,60","6,80",Monovolumen,5 Puertas,,1.427,Gasolina,140,1.330,Manual,,,,,,,,,,,,,,,
Navarra,Detalles SEAT Arona (2021) ,Matriculado: 01/2021,91990,FLEXICAR NAVARRA,Profesional,C,12 meses,16290,no disponible,"4,80","4,20","5,70","4x4, SUV o pickup",5 Puertas,,,Gasolina,110,1.000,Manual,,,,,,,,,,,,,,,
