id_concesionario,nombre_concesionario
1,RUTA 66
2,AUTOMOTOR DURSAN
3,Mules Car
4,CLICARS MADRID
5,STAR MADRID
6,"MAJADAHONDA MOTOR, S.A."
7,MERCEDES COVISA
8,VALENCIA AUTOS JCP
9,CSM MARBELLA PREMIUM CARS
10,VIPCar Autos
11,AUTO RAMOS
12,GARAGE CLUB
13,Kia Marcos Automoción Valencia
14,ID CARS
15,"CAMPOS (MIGUEL CAMPOS MOTOR, S.L.)"
16,COMERCIAL ANACA
17,DITRAM AUTOMOCION MERCEDES
18,"CADIMAR S.A., concesionario oficial Mercedes"
19,ACIERTOCARS
20,INSULAR AUTOMOCIÓN
21,SPAVAL AUTOMOCION
22,"Motores Cádiz, concesionario oficial Ford"
23,COMERCIAL VILA
24,CARPLUS PARLA
25,SYA MOTOR
26,AUTOS BILBAO
27,QUALITY CARS
28,GSCARS
29,BMW AUTOPREMIER.
30,TOYOTA ARTAL 
31,ADARSA SIERO
32,GAMBOA OCASION
33,AUTOMOVILES MARTIN
34,AUTO ELAND BARCELONA
35,PUERTO MOTOR.
36,GRUPO DIMOLK
37,IMEXPORT UBECARS
38,STELLANTIS &YOU ZARAGOZA – Rodríguez Ayuso 120
39,STELLANTIS & YOU ZARAGOZA 
40,ROES COCHES DIRECT S.L
41,AUTO GONSE
42,AUTOS RAMOS 24 s.l.u.
43,AUTOMÓVILES WILFER
44,MDS Motors
45,AUTOMOBILS GIL
46,ORLANDO CARS
47,AUTOS JM
48,MM Motor
49,STELLANTIS & YOU BARCELONA 
50,AUTO SALON VILLANUEVA
51,BARRAGAN Y FUENTES AUTOMOCION
52,SALGADO MOTOR
53,SELLCARS IBERICA
54,AJP DRIVE
55,R. TORRECILLAS
56,AUTOMOVILES ADRIAN ALVAREZ
57,JB AUTOMOCION
58,ROSSLIND SANTA PONSA
59,EDDINE GARAGE
60,TOYOTA JAPAN CAR
61,ALDATARA
62,BMW CELTAMOTOR
63,GAURSA
64,AUTO SPRINT
65,STERN MOTOR
66,MOSANCAR
67,"MOVILCAR, concesionario oficial Jaguar"
68,DMG VEHÍCULOS
69,AUTOGALLERY PREMIUM
70,AUTOS CAPRICAR
71,MARTINSA MOTOR
72,AUTOS CRISMA
73,GRUPO 2
74,MR OCASION..
75,DYD MOTOR OCASION
76,MADRID OCASION VO
77,AUTONACER
78,GSM CARS
79,CARSHOW.ES
80,OK MOBILITY BARCELONA
81,Avant Garage
82,AUTOSDECONFIANZA
83,CELIAUTO
84,EUROCOCHE ASPE
85,AUTOMOVILES SEPTIMA AVENIDA
86,GRUPO GEDAUTO
87,EUTRASA
88,FLEXICAR GRANADA
89,GRUPO HERMINDO
90,FLEXICAR CIUDAD REAL
91,FLEXICAR NAVARRA
92,CAR10 Toledo
93,"KONI MOTOR, S.A."
94,SALA HERMANOS VO
95,MINGOS SALVATERRA
96,VISAUTO ALICANTE
97,KIA ARM MOTOR GRANADA
98,WAGEN MOTORS
99,Laguna seca motor
100,STELLANTIS & YOU SEVILLA 
101,HYUNDAI ASTURDAI
102,GO MOTOR.
103,BMW GRÜNBLAU MOTOR
104,DRIVER CARS BCN
105,GARVI AUTOMOVILES
106,GRUPO URETA AUTOMÓVILES
107,DRIVER CARS MADRID
108,Modrive Madrid
109,AUTOMÓVILES LOUZAO
110,X Diamond 333
111,CENTRO OCASIÓN PONTEVEDRA
112,AUTOMOVILES HERNANDEZ SEVILLA
113,"WORLD CARS MARCOS, S.L."
114,"CITROEN INTERFREN, S.A."
115,MEURI OCASION
116,CARZA OCASIÓN
117,CASA DE COCHES VALENCIA
118,STELLANTIS & YOU PALMA 
119,AUTO KARMA
120,RAUL BLANCO JIMENEZ
121,GOUGO
122,STELLANTIS &YOU MADRID 
123,CENTRAL SEMINUEVOS KM 0
124,STELLANTIS &YOU MÓSTOLES
125,STELLANTIS & YOU CORUÑA
126,STELLANTIS &YOU ZARAGOZA – Rodríguez Ayuso 172
127,"AUTOVI, concesionario oficial Ford"
128,AUTOMOVILES JUAN CARS
129,AUTOMOVILES LOPEZ BELMONTE
130,AUTOCEBRIAN
131,AUTORGAZ VEHICULOS SEMINUEVOS
132,AGUILERA AUTOCENTROS
133,AUTOS ROSAS
134,AUTOCASION NENE
135,MASEGOSA AUTOMOCIÓN
136,AUTOS GUADIANA
137,PEUGEOT ALCALA 534 MADRID
138,LOUZAO CANARIAS
139,AUTOMOVILES REQUENA
140,Autocaravanasycoches.com
141,AUTOVALL
142,CARBUIZ
143,Autoplanet Leganés II
144,INDAMOTOR
145,COMAUTO SPORT SA
146,Magod
147,F. Tomé
148,BLENDIO Ocasión Asturias
149,Autopas
150,TOYOTA NIMO GORDILLO
151,NIELSEN CARS
152,HIPERAUTO CORIA
153,KOBE MOTOR MAJADAHONDA
154,DCARS SPAIN
155,AUTOS ORTIZ
156,SLAM MADRID SL
157,Luis Carratalá 
158,COCHES DIRECT MARBELLA
159,CENTRO PORSCHE BILBAO
160,AUTOMOVILES CIPRES
161,SUZUKI SKODA MOURENTE Pontevedra
162,Grupo Solera Madrid
163,Grupo de Santiago Automoción
164,"DELTA PRAT, Concesionario Oficial Kia"
165,QUADIS ARmotors Tarragona
166,Peugeot Marcos Automoción Alicante
167,AUTO PALAS
168,Citroen Marcos Automoción Murcia
169,KEYGO CARS
170,GRUPO AMARAUTO
171,AUTO ESPLUGUES
172,Alvegirona 2000 SL
173,Fotocoche.net
174,AUTOS FLORES
175,AUTOTRADE SELECTION
176,VALENZA JAÉN
177,VALENZA CORDOBA
178,Top Car Concesionario en Vizcaya
179,F. TOMÉ GUADALAJARA
180,"JADISA,concesionario oficial Mercedes"
181,DITRAMOTOR S.L.
182,Dravit
183,LEASING AUTOMOBILE
184,SOLBERICAR AUTOMOCIÓN
185,TOYOTA VALENCIA (Sakurauto S.A.)
186,QUADIS Autolica 
187,ICONIC MOTOR GALLERY
188,BMW MOVILNORTE
189,"TELENAUTO, Audi y Volkswagen"
190,Autocasion del Norte
191,CARS & CARS
192,TOYOTA HUELVA
193,AUDI VILAMÒBIL
194,TOYOTA NIMAUTO
195,PRAGAMOVIL ZAMORA
196,MULTIMARCAS MELICAR
197,QUADIS GALLERY
198,"VOLVO VYPSA, Volvo "
199,"AUTO OJA, S.A."
200,AUDI HUERTAS MOTOR MURCIA
201,AUTOS MORERA
202,AUTOSERENA OCASION DE BADAJOZ
203,BETA MOTOR CARS
