id_marca,nombre_marca
1,Abarth
2,Aiways
3,Alfa romeo
4,Alpine
5,Aston martin
6,Audi
7,Bentley
8,Bmw
9,Byd
10,Citroen
11,Cupra
12,Dacia
13,Dfsk
14,Dongfeng
15,Dr
16,Ds
17,Evo
18,Ferrari
19,Fiat
20,Ford
21,Honda
22,Hyundai
23,Ineos
24,Invicta
25,Isuzu
26,Jaecoo
27,Jaguar
28,Jeep
29,Jiayuan
30,Kgm / ssangyong
31,Kia
32,Lamborghini
33,Lancia
34,Land-rover
35,Leapmotor
36,Levc
37,Lexus
38,Livan
39,Lotus
40,Lynk & co
41,Maserati
42,Maxus
43,Mazda
44,Mercedes-benz
45,Mg
46,Mhero
47,Mini
48,Mitsubishi
49,Morgan
50,Nissan
51,Omoda
52,Opel
53,Peugeot
54,Polestar
55,Porsche
56,Renault
57,Seat
58,Seres
59,Skoda
60,Smart
61,Subaru
62,Suzuki
63,Swm
64,Tesla
65,Toyota
66,Volkswagen
67,Volvo
68,Voyah
69,Xpeng
70,Yudo
