id_provincia,link_coche,fecha_extraccion,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,tipo_cambio,id_traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo
Madrid,https://www.autocasion.com/coches-segunda-mano/volkswagen-polo-ocasion/polo-2-0-tsi-gti-dsg-ref14587204,25/11/2024,93000,COCHES AMB,C,12.0,20950.0,29044.0,4053.0,1751.0,1461.0,355.0,5,2548,1855,5,5.8,4.9,7.7,40.0,Gasolina,1984,Automático,delantera,6,147,200,320,237,6.7,10,2019,138.0,4,Turbo,VOLKSWAGEN,POLO
Madrid,https://www.autocasion.com/coches-segunda-mano/opel-corsa-ocasion/corsa-1-3cdti-c-mon-90-1-ref14750626,25/11/2024,236945,AUTOS CAPRICAR,B,,4000.0,15660.0,3999.0,1737.0,1488.0,285.0,5,2511,1695,5,4.6,3.8,5.9,45.0,Diesel,1248,Manual,delantera,6,66,90,200,172,12.7,7,2009,127.0,4,Turbo,OPEL,CORSA
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-octavia-ocasion/octavia-1-4-tsi-cng-ambition-110-ref14132822,25/11/2024,44300,SKOMOVIL MURCIA,ECO,12.0,15900.0,25030.0,4670.0,1814.0,1458.0,460.0,5,2680,1878,5,5.7,4.6,7.4,50.0,Gasolina/gas,1395,Manual,delantera,6,81,110,200,195,10.9,8,2017,101.0,4,Turbo,SKODA,OCTAVIA
Murcia,https://www.autocasion.com/coches-km0/km-0/skoda-kamiq-km0/kamiq-todoterreno-1-0-tsi-81kw-dsg-sport-110-5p-ref14471113,25/11/2024,10600,SKOMOVIL MURCIA,C,12.0,24900.0,,,,,,,,,5,,,,,Gasolina,,Automático,,,,110,,,,3,2024,,,,SKODA,KAMIQ
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-octavia-ocasion/octavia-familiar-1-4-tsi-phev-selection-150kw-dsg-204-5p-ref14551872,25/11/2024,13673,SKOMOVIL MURCIA,0 EMISIONES,12.0,33500.0,,,,,,,,,5,,,,,Eléctrico,,Automático,,,,204,,,,2,2024,,,,SKODA,OCTAVIA
Murcia,https://www.autocasion.com/coches-km0/km-0/skoda-scala-km0/scala-berlina-con-porton-1-0-tsi-70kw-ambition-95-5p-ref14148394,25/11/2024,3,SKOMOVIL MURCIA,C,12.0,19500.0,,,,,,,,,5,,,,,Gasolina,,Manual,,,,95,,,,1,2024,,,,SKODA,SCALA
Madrid,https://www.autocasion.com/coches-segunda-mano/toyota-corolla-ocasion/corolla-2-0d-4d-sol-1-ref14829582,25/11/2024,162957,AUTOS CAPRICAR,B,12.0,4500.0,19600.0,4180.0,1475.0,1710.0,,5,2600,1765,5,5.6,3.9,7.2,55.0,Diesel,1995,Manual,delantera,5,85,116,280,,10.6,1,2006,149.0,4,,TOYOTA,COROLLA
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-enyaq-iv-ocasion/enyaq-todoterreno-bev-62kwh-60-180-5p-ref14233942,25/11/2024,12658,SKOMOVIL MURCIA,0 EMISIONES,12.0,38500.0,,,,,,,,,5,,,,,Eléctrico,,Automático,,,,180,,,,5,2023,,,,SKODA,ENYAQ IV
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-karoq-ocasion/karoq-2-0tdi-adblue-ambition-110kw-ref14651457,25/11/2024,27666,SKOMOVIL MURCIA,C,12.0,26900.0,31330.0,4382.0,1841.0,1538.0,521.0,5,2630,2100,5,4.8,4.6,5.0,50.0,Diesel,1968,Manual,delantera,6,110,150,340,196,8.7,12,2022,119.0,4,Turbo,SKODA,KAROQ
Murcia,https://www.autocasion.com/coches-segunda-mano/bmw-x1-ocasion/x1-sdrive-18da-4-75-ref14615123,25/11/2024,30820,SKOMOVIL MURCIA,C,12.0,31900.0,41896.0,4447.0,1821.0,1598.0,505.0,5,2670,2125,5,4.7,4.3,5.3,51.0,Diesel,1995,Automático,delantera,8,110,150,350,200,9.4,12,2021,123.0,4,Turbo de geometría variable,BMW,X1
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-octavia-ocasion/octavia-combi-1-0-tsi-ambition-81kw-ref14233946,25/11/2024,32656,SKOMOVIL MURCIA,C,12.0,21900.0,30147.0,4689.0,1829.0,1468.0,640.0,5,2686,1847,5,5.3,4.4,6.8,45.0,Gasolina,,Manual,delantera,6,81,110,200,224,8.3,11,2022,107.0,3,Turbo,SKODA,OCTAVIA
Murcia,https://www.autocasion.com/coches-segunda-mano/skoda-karoq-ocasion/karoq-todoterreno-1-5-tsi-design-dsg-150-5p-ref14288623,25/11/2024,654290,SKOMOVIL MURCIA,C,12.0,30900.0,,,,,,,,,5,,,,,Gasolina,,Automático,,,,150,,,,4,2024,,,,SKODA,KAROQ
Murcia,https://www.autocasion.com/coches-segunda-mano/mitsubishi-asx-ocasion/asx-todoterreno-1-6-160-mpi-motion-117-5p-1-ref14310268,25/11/2024,96350,SKOMOVIL MURCIA,C,12.0,14900.0,,,,,,,,,5,,,,,Gasolina,,Manual,,,,117,,,,6,2019,,,,MITSUBISHI,ASX
Murcia,https://www.autocasion.com/coches-km0/km-0/skoda-kamiq-km0/kamiq-design-1-0-tsi-85-kw-115-cv-manual-6-vel-ref14431055,25/11/2024,101,SKOMOVIL MURCIA,C,12.0,23900.0,,,,,,,,,5,,,,,Gasolina,,Manual,,,,115,,,,4,2024,,,,SKODA,KAMIQ
Madrid,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-cla-ocasion/cla-250e-8g-dct-ref14697754,25/11/2024,63000,COCHES AMB,0 EMISIONES,12.0,30950.0,49992.0,4688.0,1830.0,1450.0,390.0,5,2729,2200,4,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,240,6.6,12,2021,,4,Turbo,MERCEDES-BENZ,CLASE CLA
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14418197,25/11/2024,116428,CLICARS MADRID,ECO,12.0,27290.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,6,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14423454,25/11/2024,45271,CLICARS MADRID,ECO,12.0,31690.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,11,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-2-0d150-s-awd-aut-150-ref14470113,25/11/2024,114001,CLICARS MADRID,ECO,12.0,26990.0,51460.0,4371.0,1996.0,1649.0,591.0,5,2681,2490,5,5.6,5.1,6.6,67.0,Diesel,1999,Automático,total permanente,9,110,150,380,196,11.2,6,2020,142.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/hyundai-i30-ocasion/i30-2-0-tgdi-n-project-c-275-ref14886316,25/11/2024,31900,AUTOGALLERY PREMIUM,C,12.0,44900.0,51450.0,4335.0,1795.0,1447.0,381.0,5,2650,1910,5,7.7,6.3,10.2,50.0,Gasolina,1998,Manual,delantera,6,202,275,378,250,6.0,4,2021,176.0,4,Turbo,HYUNDAI,I30
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-evoque-ocasion/evoque-1-5-i3-phev-se-awd-auto-ref12519560,25/11/2024,28320,CLICARS MADRID,0 EMISIONES,12.0,45690.0,65350.0,4371.0,1996.0,1649.0,472.0,5,2681,2742,5,1.9,,,57.0,Híbrido Enchufable,1497,Automático,total permanente,8,227,308,540,213,6.4,9,2022,43.0,3,Turbo,LAND-ROVER,RANGE ROVER EVOQUE
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-velar-ocasion/2-0d-i4-150kw-204cv-s-4wd-auto-165e9e9bf6835a-ref12394603,25/11/2024,21603,CLICARS MADRID,ECO,12.0,47590.0,77150.0,4797.0,2041.0,1678.0,748.0,5,2874,2590,5,5.3,3.7,6.9,60.0,Diesel,1997,Automático,total permanente,8,150,204,430,210,8.2,7,2021,139.0,4,Turbo de geometría variable,LAND-ROVER,RANGE ROVER VELAR
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-velar-ocasion/velar-2-0-si4-r-dynamic-s-4wd-aut-250-ref11785853,25/11/2024,45562,CLICARS MADRID,C,12.0,55190.0,79650.0,4797.0,2041.0,1683.0,748.0,5,2874,2550,5,7.7,5.4,10.0,82.0,Gasolina,1997,Automático,total permanente,8,184,250,365,217,7.5,4,2021,174.0,4,Turbo,LAND-ROVER,RANGE ROVER VELAR
Madrid,https://www.autocasion.com/coches-segunda-mano/land-rover-range-rover-sport-ocasion/rr-sport-2-0-si4-phev-se-404-ref13803395,25/11/2024,57095,CLICARS MADRID,0 EMISIONES,12.0,54490.0,92800.0,4879.0,1983.0,1803.0,780.0,5,2923,3200,5,3.4,,,90.0,Híbrido Enchufable,1997,Automático,total permanente,8,297,404,640,220,6.7,11,2019,72.0,4,Turbo,LAND-ROVER,RANGE ROVER SPORT
Madrid,https://www.autocasion.com/coches-segunda-mano/bmw-serie-3-ocasion/320d-touring-4-ref14770205,25/11/2024,268000,COCHES AMB,B,12.0,7950.0,37900.0,4520.0,1817.0,1418.0,460.0,5,2760,2045,5,4.9,4.2,6.1,61.0,Diesel,1995,Manual,trasera,6,130,177,350,228,8.1,9,2009,128.0,4,Turbo,BMW,SERIE 3
