provincia,link_coche,fecha_extraccion,marca_modelo,fecha_matriculacion,kilometraje,nombre_vendedor,tipo_vendedor,distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,carroceria,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,CO2,deposito,combustible,cilindros,cilindrada,sobrealimentacion,tipo_cambio,traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
Barcelona,https://www.autocasion.com/coches-segunda-mano/bmw-x5-ocasion/x5-xdrive-30d-3-ref14328597,21/11/2024,Detalles BMW X5 (2015) ,Matriculado: 01/2015,178000,Activalia Cars,Profesional,C,12 meses,25000 27000 7%,70450,4886 mm Largo,1938 mm Ancho,1762 mm Alto,Capacidad del maletero (l)650/1.870,CarroceríaTodo Terreno,Número de plazas5,"Batalla (mm)
2.933",Peso/Masa max. autorizado (kg)2.780,Número de puertas5,"Consumo medio 5,90 litros/100 km","Consumo en carretera 5,50 litros/100 km","Consumo urbano 6,70 litros/100 km",CO2 (g/km) 156 g/km,"Depósito de combustible (l) 85,00 litros",Combustible Diesel,Nº de cilindros 6 cilindros,Cilindrada (cm3) 2.993,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Automática secuencial,TracciónTodo terreno tracción total permanente,Número de marchas8,Potencia (KW)190,Potencia (CV)258,Par (Nm)560,Velocidad máxima (km/h)230,"Aceleración 0-100 km/h (s)6,80"
Barcelona,https://www.autocasion.com/coches-segunda-mano/audi-a5-ocasion/a5-sportback-2-0tdi-advanced-s-tronic-150-ref14882115,21/11/2024,Detalles AUDI A5 (2019) ,Matriculado: 06/2019,155000,Activalia Cars,Profesional,C,12 meses,20975,47267,4733 mm Largo,1843 mm Ancho,1386 mm Alto,Capacidad del maletero (l)480/0,CarroceríaBerlina,Número de plazas5,"Batalla (mm)
2.824",Peso/Masa max. autorizado (kg)2.110,Número de puertas5,"Consumo medio 4,40 litros/100 km","Consumo en carretera 3,90 litros/100 km","Consumo urbano 4,90 litros/100 km",CO2 (g/km) 113 g/km,"Depósito de combustible (l) 54,00 litros",Combustible Diesel,Nº de cilindros 4 cilindros,Cilindrada (cm3) 1.968,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Automática secuencial,TracciónTracción delantera,Número de marchas7,Potencia (KW)110,Potencia (CV)150,Par (Nm)320,Velocidad máxima (km/h)217,"Aceleración 0-100 km/h (s)8,90"
Madrid,https://www.autocasion.com/coches-segunda-mano/volkswagen-tiguan-ocasion/tiguan-allspace-2-0tdi-sport-4m-dsg-190-ref14882112,21/11/2024,Detalles VOLKSWAGEN Tiguan (2020) ,Matriculado: 01/2020,116315,BARRAGAN Y FUENTES AUTOMOCION,Profesional,C,12 meses,29990,48938,4701 mm Largo,1839 mm Ancho,1674 mm Alto,Capacidad del maletero (l)230/1.760,CarroceríaTodo Terreno,Número de plazas7,"Batalla (mm)
2.787",Peso/Masa max. autorizado (kg)2.420,Número de puertas5,"Consumo medio 5,90 litros/100 km","Consumo en carretera 5,30 litros/100 km","Consumo urbano 6,70 litros/100 km",CO2 (g/km) 147 g/km,"Depósito de combustible (l) 60,00 litros",Combustible Diesel,Nº de cilindros 4 cilindros,Cilindrada (cm3) 1.968,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Automática secuencial,TracciónTodo terreno tracción total permanente,Número de marchas7,Potencia (KW)140,Potencia (CV)191,Par (Nm)400,Velocidad máxima (km/h)210,"Aceleración 0-100 km/h (s)8,60"
Barcelona,https://www.autocasion.com/coches-segunda-mano/porsche-911-ocasion/911-turbo-coupe-26-ref14882113,21/11/2024,Detalles PORSCHE 911 (2021) ,Matriculado: 04/2021,49900,"WORLD CARS MARCOS, S.L.",Profesional,C,12 meses,185900,247021,4535 mm Largo,1900 mm Ancho,1303 mm Alto,Capacidad del maletero (l)128/264,CarroceríaCoupe,Número de plazas4,"Batalla (mm)
2.450",Peso/Masa max. autorizado (kg)2.040,Número de puertas2,"Consumo medio 0,00 litros/100 km","Consumo en carretera 0,00 litros/100 km","Consumo urbano 0,00 litros/100 km",CO2 (g/km) - g/km,"Depósito de combustible (l) 67,00 litros",Combustible Gasolina,Nº de cilindros 6 cilindros,Cilindrada (cm3) 3.745,Sobrealimentación Doble turbo,Tipo de transmisión Automática secuencial,TracciónTracción total permanente,Número de marchas8,Potencia (KW)427,Potencia (CV)580,Par (Nm)750,Velocidad máxima (km/h)320,"Aceleración 0-100 km/h (s)2,80"
Segovia,https://www.autocasion.com/coches-segunda-mano/audi-a7-ocasion/a7-sportback-55-tfsi-quattro-s-tronic-9-75-ref14342740,21/11/2024,Detalles AUDI A7 (2019) ,Matriculado: 08/2019,229000,Automóviles Cuéllar,Profesional,ECO,12 meses,30000,88106,4969 mm Largo,1908 mm Ancho,1422 mm Alto,Capacidad del maletero (l)535/1.390,CarroceríaCoupe,Número de plazas4,"Batalla (mm)
2.926",Peso/Masa max. autorizado (kg)2.470,Número de puertas5,"Consumo medio 7,30 litros/100 km","Consumo en carretera 6,00 litros/100 km","Consumo urbano 9,70 litros/100 km",CO2 (g/km) 163 g/km,"Depósito de combustible (l) 63,00 litros",Combustible Gasolina,Nº de cilindros 6 cilindros,Cilindrada (cm3) 2.995,Sobrealimentación Turbo,Tipo de transmisión Automática secuencial,TracciónTracción total permanente,Número de marchas7,Potencia (KW)250,Potencia (CV)340,Par (Nm)500,Velocidad máxima (km/h)250,"Aceleración 0-100 km/h (s)5,30"
Segovia,https://www.autocasion.com/coches-segunda-mano/volkswagen-arteon-ocasion/arteon-2-0tdi-elegance-dsg7-150-ref14342711,21/11/2024,Detalles VOLKSWAGEN Arteon (2018) ,Matriculado: 10/2018,260000,Automóviles Cuéllar,Profesional,C,12 meses,16000,48002,4862 mm Largo,1871 mm Ancho,1450 mm Alto,Capacidad del maletero (l)563/0,CarroceríaCoupe,Número de plazas5,"Batalla (mm)
2.837",Peso/Masa max. autorizado (kg)2.170,Número de puertas5,"Consumo medio 4,50 litros/100 km","Consumo en carretera 4,00 litros/100 km","Consumo urbano 5,40 litros/100 km",CO2 (g/km) 110 g/km,"Depósito de combustible (l) 66,00 litros",Combustible Diesel,Nº de cilindros 4 cilindros,Cilindrada (cm3) 1.968,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Automática secuencial,TracciónTracción delantera,Número de marchas7,Potencia (KW)110,Potencia (CV)150,Par (Nm)340,Velocidad máxima (km/h)220,"Aceleración 0-100 km/h (s)9,10"
Segovia,https://www.autocasion.com/coches-segunda-mano/alfa-romeo-stelvio-ocasion/stelvio-2-9-bi-turbo-q4-quadrifoglio-at8-ref14022290,21/11/2024,Detalles ALFA ROMEO Stelvio (2019) ,Matriculado: 11/2019,200000,Automóviles Cuéllar,Profesional,C,12 meses,38500 39000 1%,107100,4687 mm Largo,1903 mm Ancho,1671 mm Alto,Capacidad del maletero (l)525/0,CarroceríaTodo Terreno,Número de plazas5,"Batalla (mm)
2.818",Peso/Masa max. autorizado (kg)2.380,Número de puertas5,"Consumo medio 9,80 litros/100 km","Consumo en carretera 8,20 litros/100 km","Consumo urbano 12,40 litros/100 km",CO2 (g/km) 222 g/km,"Depósito de combustible (l) 64,00 litros",Combustible Gasolina,Nº de cilindros 6 cilindros,Cilindrada (cm3) 2.891,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Automática secuencial,TracciónTodo terreno tracción total permanente,Número de marchas8,Potencia (KW)375,Potencia (CV)510,Par (Nm)600,Velocidad máxima (km/h)283,"Aceleración 0-100 km/h (s)3,80"
Córdoba,https://www.autocasion.com/coches-segunda-mano/seat-leon-ocasion/leon-1-5-ecotsi-s-s-fr-130-ref14770191,21/11/2024,Detalles SEAT León (2019) ,Matriculado: 08/2019,93000,SMN CARS.,Profesional,C,12 meses,17990,23900,4281 mm Largo,1816 mm Ancho,1444 mm Alto,Capacidad del maletero (l)380/0,CarroceríaBerlina,Número de plazas5,"Batalla (mm)
2.634",Peso/Masa max. autorizado (kg)1.780,Número de puertas5,"Consumo medio 5,00 litros/100 km","Consumo en carretera 4,20 litros/100 km","Consumo urbano 6,40 litros/100 km",CO2 (g/km) 113 g/km,"Depósito de combustible (l) 50,00 litros",Combustible Gasolina,Nº de cilindros 4 cilindros,Cilindrada (cm3) 1.498,Sobrealimentación Turbo de geometría variable,Tipo de transmisión Manual,TracciónTracción delantera,Número de marchas6,Potencia (KW)95,Potencia (CV)130,Par (Nm)200,Velocidad máxima (km/h)203,"Aceleración 0-100 km/h (s)9,40"
Pontevedra,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/200-d-amg-line-paq-advantage-smartphone-int-1671bac34ba1cb-ref14672495,21/11/2024,Detalles MERCEDES-BENZ Clase A (2020) ,Matriculado: 09/2020,98222,GRUPO HERMINDO,Profesional,no disponible,12 meses,25685,no disponible,,,,,Pequeño,,,,5 Puertas,,,,,,Diésel,,,,Automático,,,,150,,,
Pontevedra,https://www.autocasion.com/coches-segunda-mano/kia-niro-ocasion/1-6-gdi-hev-141-cv-drive-1672e35e097ad0-ref14772982,21/11/2024,Detalles KIA Niro (2021) ,Matriculado: 08/2021,14262,GRUPO HERMINDO,Profesional,ECO,12 meses,22985,no disponible,,,,,Pequeño,,,,5 Puertas,,,,,,Gasolina y corriente eléctrica,,1.600,,Automático,,,,140,,,
