marca,modelo,mes_matriculacion,ano_matriculacion,kilometraje,distintivo_ambiental,garantia,precio_nuevo,precio_contado,concesionario,provincia,comunidad_autonoma,tipo_traccion,largo,ancho,alto,capacidad_maletero,num_plazas,num_puertas,batalla,peso,consumo_medio,consumo_carretera,consumo_urbano,co2,deposito,combustible,num_cilindros,cilindrada,sobrealimentacion,tipo_cambio,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
VOLKSWAGEN,POLO,10,2019,93000.0,C,12.0,29044.00,20950.00,COCHES AMB,Madrid,Madrid,delantera,4053.0,1751.0,1461.0,355.0,5.0,5.0,2548.0,1855.0,5.80,4.90,7.70,138.00,40.00,Gasolina,4.0,1984.0,Turbo,Automático,6.0,147.0,200.0,320.0,237.0,6.70
OPEL,CORSA,7,2009,236945.0,B,,15660.00,4000.00,AUTOS CAPRICAR,Madrid,Madrid,delantera,3999.0,1737.0,1488.0,285.0,5.0,5.0,2511.0,1695.0,4.60,3.80,5.90,127.00,45.00,Diesel,4.0,1248.0,Turbo,Manual,6.0,66.0,90.0,200.0,172.0,12.70
SKODA,OCTAVIA,8,2017,44300.0,ECO,12.0,25030.00,15900.00,SKOMOVIL MURCIA,Murcia,Murcia,delantera,4670.0,1814.0,1458.0,460.0,5.0,5.0,2680.0,1878.0,5.70,4.60,7.40,101.00,50.00,Gasolina/gas,4.0,1395.0,Turbo,Manual,6.0,81.0,110.0,200.0,195.0,10.90
SKODA,KAMIQ,3,2024,10600.0,C,12.0,,24900.00,SKOMOVIL MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Gasolina,,,,Automático,,,110.0,,,
SKODA,OCTAVIA,2,2024,13673.0,0 EMISIONES,12.0,,33500.00,SKOMOVIL MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Eléctrico,,,,Automático,,,204.0,,,
SKODA,SCALA,1,2024,3.0,C,12.0,,19500.00,SKOMOVIL MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Gasolina,,,,Manual,,,95.0,,,
TOYOTA,COROLLA,1,2006,162957.0,B,12.0,19600.00,4500.00,AUTOS CAPRICAR,Madrid,Madrid,delantera,4180.0,1475.0,1710.0,,5.0,5.0,2600.0,1765.0,5.60,3.90,7.20,149.00,55.00,Diesel,4.0,1995.0,,Manual,5.0,85.0,116.0,280.0,,10.60
SKODA,ENYAQ IV,5,2023,12658.0,0 EMISIONES,12.0,,38500.00,SKOMOVIL MURCIA,Murcia,Murcia,,,,,,,5.0,,,,,,,,Eléctrico,,,,Automático,,,180.0,,,
SKODA,KAROQ,12,2022,27666.0,C,12.0,31330.00,26900.00,SKOMOVIL MURCIA,Murcia,Murcia,delantera,4382.0,1841.0,1538.0,521.0,5.0,5.0,2630.0,2100.0,4.80,4.60,5.00,119.00,50.00,Diesel,4.0,1968.0,Turbo,Manual,6.0,110.0,150.0,340.0,196.0,8.70
BMW,X1,12,2021,30820.0,C,12.0,41896.00,31900.00,SKOMOVIL MURCIA,Murcia,Murcia,delantera,4447.0,1821.0,1598.0,505.0,5.0,5.0,2670.0,2125.0,4.70,4.30,5.30,123.00,51.00,Diesel,4.0,1995.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,350.0,200.0,9.40
