id_concesionario,nombre_concesionario
1,COCHES AMB
2,AUTOS CAPRICAR
3,SKOMOVIL MURCIA
4,CLICARS MADRID
5,AUTOGALLERY PREMIUM
6,STERN MOTOR
7,BOX SPORT BCN
8,ICONIC MOTOR GALLERY
9,Gtcars
10,AUTOMOVILES CIPRES
11,"AUTOBAGES, concesionario oficial Ford"
12,OUTLET CARS CERDANYOLA
13,"FORD AUTO PALACIOS, concesionario oficial Ford"
14,Cars Gandia
15,ROYB MOTOR CADIZ
16,Premium Car Bilbao
17,CARMOTIVE MADRID_Principal
18,LEXUS SEVILLA
19,MARME CARS
20,GRUPO DIMOLK
21,TERRYS CAR HIRE
22,MERCEDES COVISA
23,"JOTA ROCAL, concesionario oficial Ford"
24,TOYOTA IGUALADA
25,GRUPO GINESTAR VALENCIA
26,AUTERSA CASTELLÓN
27,Vantage Cars and Bikes
28,AUDI HUERTAS MOTOR MURCIA
29,ÁREA AUTOEXPO
30,WALLSCAR MULTIMARCA GRUPO PAREDES AUTOMOCION
31,AUTOS MOLIERE
32,RENAULT AUTO URBIÓN
33,DEL PASO CAR HIRE
34,CSM MARBELLA PREMIUM CARS
35,MASEGOSA AUTOMOCIÓN
36,Flash Cars
37,JL AUTOMOVILES
38,AUTOMOVILES CABALLERO
39,IMPO EXPO by 5210
40,MOTOR CLUB SEVILLA
41,MOTOR CLUB SEVILLA 
42,COCHES ALTA GAMA Y OCASIÓN AVILA
43,HERNAN OCASION
44,HOUSIN AMERICAN CARS
45,MERCEDES COVISA MADRID
46,RS
47,AUTODRIVER
48,AUTO LLAVERIA
49,MOTORCIM
50,"VISACAR KM0, S.L."
51,AUTOMOVILES EL CAMPON
52,AUTOSDECONFIANZA
53,LUXMIL MOTOR S.A.
54,House Cars Luxury
55,SHOPING CAR
56,BOGATIY MOTOR
57,"MOTOR ARANDA, VO"
58,CENTRO PORSCHE BILBAO
59,FENIX AUTOMOCION
60,Point Car
61,GRUPO MOTORALBA
62,COCHES DEL SUR
63,Expocar Levante YECLA
64,CAURIA AUTOMOCION
65,VISAUTO ALICANTE
66,"CADIMAR S.A., concesionario oficial Mercedes"
67,SRK AUTOS
68,DRIVER CARS MADRID
69,DRIVER CARS BCN
70,MARTINSA MOTOR
71,"JARMAUTO, concesionario oficial Volkswagen"
72,AUTO STORE 80
73,NIELSEN CARS
74,FIOREMOTOR
75,CARBUIZ
76,Motorsrental Cars
77,AUTOMOVILES CARDENAS
78,BAYCAR DAS WELTAUTO
79,Infinity cars 2023
80,MULTIMARCA EL PINO SL
81,FOSAVI
82,TOYOTA LABASA CARTAGENA
83,Autocasion del Norte
84,AUTOMOVILES ALVARO
85,GRUPO SAUGAR
86,TOYOTA LABASA MURCIA
87,DV MOTOR.
88,AUTOMOVILES MEBAUTO
89,CARISMATIC
90,MARMOCASION STORE
91,MAZDA AUTOMOVILES SOLAUTO
92,AUTOSAE
93,Autogep
94,GRUPO HERMINDO
95,Multigrupo
96,MOTOREVO SEVILLA
97,MOVITRANSA CARS SEVILLA
98,GARRYAUTO
99,DRIVERIS
100,FERTO TORRENT
101,VOLVO SURAUTO SHERRY
102,81 MOTOR
103,FENIIXCARSAUTO
104,BW CARS
105,GRUPO GEDAUTO
106,FLEXICAR GRANADA
107,GOMBAU AUTOS
108,FLEXICAR CIUDAD REAL
109,FLEXICAR NAVARRA
110,STELLANTIS & YOU CORUÑA
111,STELLANTIS &YOU OURENSE
112,GRUPO VELASCO OCASION
113,Grupo Solera Madrid
114,AUTOKRATOR
115,MAS MOTOR
116,MERCEDES COVISA INDUSTRIALES
117,ASTIAUTO DONOSTI
118,AUTOMOVILES EL QUINTO
119,AUTOCYL OCASIÓN
120,RIVERO MOTOR
121,OHMOTOR
122,KIA ARM MOTOR GRANADA
123,SPAVAL AUTOMOCION
124,LINK MOTORS MURCIA
125,GO MOTOR.
126,CEYOCARS
127,"JARMAUTO, concesionario oficial Audi"
128,HYUNDAI ASTURDAI
129,BMW GRÜNBLAU MOTOR
130,BMW CELTAMOTOR
131,PORSMISTRAL VALLADOLID
132,GRUPO URETA AUTOMÓVILES
133,CAR PRICE
134,Modrive Madrid
135,EGOCARS
136,LUXURY MOTOR S.L.
137,LOUZAO CANARIAS
138,STELLANTIS &YOU ZARAGOZA – Rodríguez Ayuso 120
139,STELLANTIS & YOU PALMA 
140,STELLANTIS & YOU BARCELONA 
141,RAUL BLANCO JIMENEZ
142,STELLANTIS & YOU ALCORCÓN
143,NOVOMOVIL
144,STELLANTIS & YOU VALENCIA TRES CRUCES
145,STELLANTIS &YOU GRANADA
146,STELLANTIS &YOU BARCELONA 
147,PEUGEOT ALCALA 534 MADRID
148,MR OCASION..
149,Autoplanet Leganés II
150,TALLERS CELESTI FARRE
151,ARTEDO MOTOR
152,COMAUTO SPORT SA
153,AutoOcasion
154,COCHES A MIL
155,Indesamotor
156,TOYOTA NIMO GORDILLO
157,Machaca Experience
