id_modelo,nombre_modelo
1,SERIE 3
2,500
3,QASHQAI
4,ASTRA
5,ECLIPSE CROSS
6,CLASE GLC
7,CLASE C
8,CLASE CLA
9,CLASE S
10,MÉGANE
11,CLASE A
12,RIFTER
13,EQS
14,CLASE B
15,BERLINGO M1
16,CLASE GLA
17,CLIO
18,MONDEO
19,3008 SUV
20,TOURAN
21,308
22,GOLF
23,RANGE ROVER SPORT
24,X5
25,FOCUS
26,CLASE SL
27,CLASE E
28,CLASE GLE
29,T-ROC
30,CLASE CLE
31,EQA
32,EQB
33,KAMIQ
34,PASSAT
35,IBIZA
36,OCTAVIA
37,C4 CACTUS
38,ECOSPORT
39,LAGUNA
40,XV
41,XCEED
42,GT86
43,MOKKA
44,FORMENTOR
45,POLO
46,Q5
47,CLASE G
48,UP!
49,AMG GT
50,PANAMERA
51,SERIE 1
52,C4
53,MUSTANG
54,INSIGNIA
55,X1
56,CAPTUR
57,OUTBACK
58,SERIE 2
59,I3
60,GIULIA
61,LAND-ROVER RANGE ROVER QUE
62,COUNTRYMAN
63,YARIS
64,MICRA
65,JUKE
66,DEFENDER
67,TT
68,A3
69,208
70,5008
71,GRANDLAND X
72,C5 AIRCROSS
73,C3 AIRCROSS
74,C5 X
75,C3
76,CROSSLAND
77,CORSA
78,2008
79,C4 X
80,SPRING
81,ARKANA
82,AUSTRAL
83,SANDERO
84,SCENIC
85,ATECA
86,ARONA
87,I10
88,PANDA
89,COROLLA
90,X2
91,LEVANTE
92,PROACE VERSO
93,A5
94,NIRO
95,C-HR
96,A6
97,Q8
98,EDGE
99,3 CROSSBACK
100,CHRYSLER CROSSFIRE (2007)
101,SERIE 7
102,CIVIC
103,V50
104,TOLEDO
105,X-TYPE
106,X3
107,RAV-4
108,Q7
109,WRANGLER
110,LEÓN
111,MODEL Y
112,CLASE SLC
113,Z4
114,CAYENNE
115,595
116,CAYMAN
117,911
118,CABRIO
119,500L
120,FIESTA
121,AYGO X CROSS
122,CHEROKEE
123,MODUS
124,Q3
125,CEED
126,TUCSON
127,AURIS
128,FORTWO
129,CT
130,DS4
131,3008
132,3
133,T-CROSS
134,MACAN
135,XC70
136,508
137,STONIC
138,A1
139,C5
140,GRAND CHEROKEE
141,Q2
142,I30
143,KUGA
144,108
145,MUSTANG SUV
146,I20
147,BAYON
148,KONA
149,AYGO
150,SERIE 4
151,X4
152,ZOE
153,HS
154,CX-3
155,XC40
156,C4 AIRCROSS
157,KODIAQ
158,RANGE ROVER
159,FABIA
160,SERIE 5
161,CARAVELLE
162,408
163,GRANDLAND
164,ZAFIRA
165,SUPERB
166,INFINITI QX30 (2019)
167,A4
168,X6
169,XC60
170,UX
171,CLASE V
172,NX
173,TOUAREG
174,SORENTO
175,ESPACE
176,ASX
177,TIPO
178,EXPLORER
179,PUMA
180,TAIGO
181,PICANTO
182,XE
183,KOLEOS
184,STELVIO
185,4
186,CLASE GLB
187,TOURNEO CUSTOM
188,KA
189,BOXSTER
190,CLASE GL
191,YETI
192,500X
193,SPORTAGE
194,DB11
195,370Z
196,CR-V
197,2
198,MX-30
199,HR-V
200,VITARA
201,EV6
202,407
203,FORESTER
204,IONIQ 6
205,TIGUAN
206,XC90
207,AVENGER
208,SERIE 6
209,RENEGADE
210,MCLAREN 570S (2018)
211,GHIBLI
212,IX35
213,I4
214,A7
215,LAND CRUISER
216,296 GTB
217,C40
218,SONATA
219,SCALA
220,SYMBIOZ
221,CX-30
222,5008 SUV
223,C-MAX
224,CELICA
225,KIZASHI
226,CX-5
227,CLASE SLK
228,01
229,MARANELLO
230,207
231,TOURNEO CONNECT
232,Q8 E-TRON
233,TARRACO
234,TONALE
235,COMPASS
236,7 CROSSBACK
237,TALISMAN
238,KAROQ
239,C-ELYSÉE
240,CLASE M
241,MII
242,OUTLANDER
243,X-TRAIL
244,IONIQ
245,JAZZ
246,206
247,CHEVROLET SPARK (2012)
248,COMBO
249,VIVARO COMBI M1
250,DISCOVERY
251,E-TRON
252,FREELANDER
253,TIVOLI
254,CLASE CLS
255,ZS
256,C1
257,DISCOVERY SPORT
258,RAPID
259,FORFOUR
260,LOGAN
261,LEAF
262,INFINITI Q30 (2018)
263,5
264,A4 ALLROAD
265,ARTEON
266,RODIUS
267,RIO
268,V60
269,DUSTER
270,E-PACE
271,CITIGO
272,RANGE ROVER VELAR
273,CEE´D
274,SX4 S-CROSS
275,MODEL X
276,MX-5
277,SANTA FE
278,CAMRY
279,SPACE STAR
280,807
281,GIULIETTA
282,CLASE C ESTATE
283,XF
284,KORANDO
285,SERIE 8
286,YARIS CROSS
287,ALTO
288,FIORINO
289,MODEL 3
290,F-PACE
291,307
292,DODGE CHARGER (2022)
293,CHRYSLER PT CRUISER (2010)
294,ID.3
295,E-TRON GT
296,Q4 E-TRON
297,I5
298,6
299,KADJAR
300,A6 ALLROAD
301,XSARA
302,BEETLE
303,MODEL S
304,600
305,RAFALE
306,EV9
307,CHEVROLET CAMARO (2015)
308,CITAN
309,B-MAX
310,A8
311,458
312,DS5
313,EQC
314,OUTBACK SUV
315,TAYCAN
316,IONIQ 5
317,AVENSIS
318,SX4
319,V40
320,SWIFT
321,SAMURAI
322,CROSSBLADE
323,IX20
324,ROMA
325,RX
326,CLASE R
327,V60 CROSS COUNTRY
328,306
329,FUSION
330,SCÉNIC
331,ALHAMBRA
332,SHARAN
333,ESPACE SUV
334,ID.4
335,ONE
336,ROOMSTER
337,CHEVROLET AVEO (2009)
338,LUPO
339,CLUBMAN
340,SPORTSVAN
341,ENYAQ IV
342,I-PACE
343,RZ
344,SCIROCCO
345,MCLAREN 650S (2015)
346,ROVER 75 (2005)
347,R8
348,F-150
349,URUS
350,V90 CROSS COUNTRY
351,S90
352,CLASE T
353,LODGY
354,CONTINENTAL GT
355,PORTOFINO
356,EQV
357,MCLAREN 600LT (2021)
358,FF
359,MERIVA
360,GT
361,SPIDER
362,ELANTRA
363,AVENTADOR
364,CLASE SLS AMG
365,F430
366,VERSO
367,F8 TRIBUTO
368,612 SCAGLIETTI
369,C8
370,LÍNEA
371,BORN
372,TOURNEO COURIER
373,CLASE GLS
374,ZS SUV
375,OPTIMA
376,CALIFORNIA
377,X7
378,EX30
379,4 2021
380,ADAM
381,HR-V SUV
382,CHEVROLET CAPTIVA (2008)
383,DOKKER
384,CX-60
385,V40 CROSS COUNTRY
386,BRONCO
387,ACCORD
388,ARIYA
389,EX40
390,GRAND VITARA
391,INFINITI Q60 (2017)
392,V90
393,360
394,CARENS
395,EQE
396,EQS SUV
397,U5
398,SOUL
399,C2
400,PULSAR
401,4 CROSSBACK
402,CLASE CLC
403,IQ
404,COLT
405,PUMA 1997
406,PATHFINDER
407,IX
408,MUSA
409,INFINITI EX (2008)
410,MURANO
411,CLASE CLK
412,XJ
413,JOGGER
414,9
415,MULSANNE
416,VANTAGE
417,MCLAREN 650S SPIDER (2015)
418,GETZ
419,ID.7
420,PUNTO
421,ZR-V
422,ID.5
423,KARL
424,CHEVROLET AVEO (2011)
425,S-MAX
426,MITO
427,SERES 3
428,CC
429,XM
430,A110
431,IGNIS
432,SIGNUM
433,TORRES
434,MONTERO
435,GRANTURISMO
436,Q6 E-TRON
437,RCZ
438,#1
439,JETTA
440,FLYING SPUR
441,ES
442,DODGE JOURNEY (2009)
443,GALAXY
444,S60
445,I40
446,LEÓN X-PERIENCE
447,PASSAT CC
448,C30
449,CHRYSLER 300C (2006)
450,CHEVROLET CAPTIVA (2012)
451,CHEVROLET CAPTIVA (2011)
452,CADILLAC ESCALADE (2007)
453,CLASE GLK
454,SCOUT
455,TWINGO
456,IMPREZA
457,ELETRE
458,EMIRA
459,EMEYA
460,NOTE
461,INFINITI Q30 (2016)
462,ALTEA FREETRACK
463,HIGHLANDER
464,CHEVROLET CORVETTE C8 (2023)
465,DODGE CHARGER (2023)
466,CADILLAC ESCALADE (2024)
467,KANGOO M1
468,JIMNY
