id_provincia,nombre_provincia,comunidad_autonoma
1,Madrid,Madrid
2,Murcia,Murcia
3,Barcelona,Cataluña
4,Málaga,Andalucía
5,León,Castilla y León
6,Valencia,Valencia
7,Cádiz,Andalucía
8,Vizcaya,País Vasco
9,Sevilla,Andalucía
10,La Coruña,Galicia
11,Córdoba,Andalucía
12,Castellón,Valencia
13,Tarragona,Cataluña
14,Alicante,Valencia
15,La Rioja,La Rioja
16,Ciudad Real,Castilla-La Mancha
17,Ávila,Castilla y León
18,Burgos,Castilla y León
19,Cantabria,Cantabria
20,Las Palmas,Canarias
21,Albacete,Castilla-La Mancha
22,Cáceres,Extremadura
23,Navarra,Navarra
24,Almería,Andalucía
25,Pontevedra,Galicia
26,Valladolid,Castilla y León
27,Badajoz,Extremadura
28,Granada,Andalucía
29,Girona,Cataluña
30,Orense,Galicia
31,Toledo,Castilla-La Mancha
32,Guipúzcoa,País Vasco
33,Asturias,Asturias
34,Zaragoza,Aragón
35,Islas Baleares,Islas Baleares
36,Lleida,Cataluña
37,Jaén,Andalucía
38,Teruel,Aragón
39,Lugo,Galicia
40,Salamanca,Castilla y León
41,Álava,País Vasco
42,Huelva,Andalucía
43,Tenerife,Canarias
44,Huesca,Aragón
45,Guadalajara,Castilla-La Mancha
46,Soria,Castilla y León
