id_provincia,fecha_extraccion,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,cilindrada,id_traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo,id_combustible,id_tipo_cambio,id_coche
1.0,25/11/2024,93000.0,1,1.0,12.0,20950.0,29044.0,4053.0,1751.0,1461.0,355.0,5.0,2548.0,1855.0,5.0,5.8,4.9,7.7,40.0,1984.0,1.0,6.0,147.0,200.0,320.0,237.0,6.7,10,2019,138.0,4.0,1.0,65.0,1.0,1.0,1,1
1.0,25/11/2024,236945.0,2,2.0,,4000.0,15660.0,3999.0,1737.0,1488.0,285.0,5.0,2511.0,1695.0,5.0,4.6,3.8,5.9,45.0,1248.0,1.0,6.0,66.0,90.0,200.0,172.0,12.7,7,2009,127.0,4.0,1.0,51.0,2.0,2.0,2,2
2.0,25/11/2024,44300.0,3,3.0,12.0,15900.0,25030.0,4670.0,1814.0,1458.0,460.0,5.0,2680.0,1878.0,5.0,5.7,4.6,7.4,50.0,1395.0,1.0,6.0,81.0,110.0,200.0,195.0,10.9,8,2017,101.0,4.0,1.0,58.0,3.0,3.0,2,3
2.0,25/11/2024,10600.0,3,1.0,12.0,24900.0,,,,,,,,,5.0,,,,,,,,,110.0,,,,3,2024,,,,58.0,4.0,1.0,1,4
2.0,25/11/2024,13673.0,3,4.0,12.0,33500.0,,,,,,,,,5.0,,,,,,,,,204.0,,,,2,2024,,,,58.0,3.0,4.0,1,5
2.0,25/11/2024,3.0,3,1.0,12.0,19500.0,,,,,,,,,5.0,,,,,,,,,95.0,,,,1,2024,,,,58.0,5.0,1.0,2,6
1.0,25/11/2024,162957.0,2,2.0,12.0,4500.0,19600.0,4180.0,1475.0,1710.0,,5.0,2600.0,1765.0,5.0,5.6,3.9,7.2,55.0,1995.0,1.0,5.0,85.0,116.0,280.0,,10.6,1,2006,149.0,4.0,,64.0,6.0,2.0,2,7
2.0,25/11/2024,12658.0,3,4.0,12.0,38500.0,,,,,,,,,5.0,,,,,,,,,180.0,,,,5,2023,,,,58.0,7.0,4.0,1,8
2.0,25/11/2024,27666.0,3,1.0,12.0,26900.0,31330.0,4382.0,1841.0,1538.0,521.0,5.0,2630.0,2100.0,5.0,4.8,4.6,5.0,50.0,1968.0,1.0,6.0,110.0,150.0,340.0,196.0,8.7,12,2022,119.0,4.0,1.0,58.0,8.0,2.0,2,9
2.0,25/11/2024,30820.0,3,1.0,12.0,31900.0,41896.0,4447.0,1821.0,1598.0,505.0,5.0,2670.0,2125.0,5.0,4.7,4.3,5.3,51.0,1995.0,1.0,8.0,110.0,150.0,350.0,200.0,9.4,12,2021,123.0,4.0,2.0,8.0,9.0,2.0,1,10
2.0,25/11/2024,32656.0,3,1.0,12.0,21900.0,30147.0,4689.0,1829.0,1468.0,640.0,5.0,2686.0,1847.0,5.0,5.3,4.4,6.8,45.0,,1.0,6.0,81.0,110.0,200.0,224.0,8.3,11,2022,107.0,3.0,1.0,58.0,3.0,1.0,2,11
2.0,25/11/2024,654290.0,3,1.0,12.0,30900.0,,,,,,,,,5.0,,,,,,,,,150.0,,,,4,2024,,,,58.0,8.0,1.0,1,12
2.0,25/11/2024,96350.0,3,1.0,12.0,14900.0,,,,,,,,,5.0,,,,,,,,,117.0,,,,6,2019,,,,47.0,10.0,1.0,2,13
2.0,25/11/2024,101.0,3,1.0,12.0,23900.0,,,,,,,,,5.0,,,,,,,,,115.0,,,,4,2024,,,,58.0,4.0,1.0,2,14
1.0,25/11/2024,63000.0,1,4.0,12.0,30950.0,49992.0,4688.0,1830.0,1450.0,390.0,5.0,2729.0,2200.0,4.0,,,,35.0,1332.0,1.0,8.0,160.0,218.0,450.0,240.0,6.6,12,2021,,4.0,1.0,43.0,11.0,5.0,1,15
1.0,25/11/2024,116428.0,4,3.0,12.0,27290.0,51460.0,4371.0,1996.0,1649.0,591.0,5.0,2681.0,2490.0,5.0,5.6,5.1,6.6,67.0,1999.0,2.0,9.0,110.0,150.0,380.0,196.0,11.2,6,2020,142.0,4.0,2.0,33.0,12.0,2.0,1,16
1.0,25/11/2024,45271.0,4,3.0,12.0,31690.0,51460.0,4371.0,1996.0,1649.0,591.0,5.0,2681.0,2490.0,5.0,5.6,5.1,6.6,67.0,1999.0,2.0,9.0,110.0,150.0,380.0,196.0,11.2,11,2020,142.0,4.0,2.0,33.0,12.0,2.0,1,17
1.0,25/11/2024,114001.0,4,3.0,12.0,26990.0,51460.0,4371.0,1996.0,1649.0,591.0,5.0,2681.0,2490.0,5.0,5.6,5.1,6.6,67.0,1999.0,2.0,9.0,110.0,150.0,380.0,196.0,11.2,6,2020,142.0,4.0,2.0,33.0,12.0,2.0,1,18
1.0,25/11/2024,31900.0,5,1.0,12.0,44900.0,51450.0,4335.0,1795.0,1447.0,381.0,5.0,2650.0,1910.0,5.0,7.7,6.3,10.2,50.0,1998.0,1.0,6.0,202.0,275.0,378.0,250.0,6.0,4,2021,176.0,4.0,1.0,21.0,13.0,1.0,2,19
1.0,25/11/2024,28320.0,4,4.0,12.0,45690.0,65350.0,4371.0,1996.0,1649.0,472.0,5.0,2681.0,2742.0,5.0,1.9,,,57.0,1497.0,2.0,8.0,227.0,308.0,540.0,213.0,6.4,9,2022,43.0,3.0,1.0,33.0,12.0,5.0,1,20
1.0,25/11/2024,21603.0,4,3.0,12.0,47590.0,77150.0,4797.0,2041.0,1678.0,748.0,5.0,2874.0,2590.0,5.0,5.3,3.7,6.9,60.0,1997.0,2.0,8.0,150.0,204.0,430.0,210.0,8.2,7,2021,139.0,4.0,2.0,33.0,14.0,2.0,1,21
1.0,25/11/2024,45562.0,4,1.0,12.0,55190.0,79650.0,4797.0,2041.0,1683.0,748.0,5.0,2874.0,2550.0,5.0,7.7,5.4,10.0,82.0,1997.0,2.0,8.0,184.0,250.0,365.0,217.0,7.5,4,2021,174.0,4.0,1.0,33.0,14.0,1.0,1,22
1.0,25/11/2024,57095.0,4,4.0,12.0,54490.0,92800.0,4879.0,1983.0,1803.0,780.0,5.0,2923.0,3200.0,5.0,3.4,,,90.0,1997.0,2.0,8.0,297.0,404.0,640.0,220.0,6.7,11,2019,72.0,4.0,1.0,33.0,15.0,5.0,1,23
1.0,25/11/2024,268000.0,1,2.0,12.0,7950.0,37900.0,4520.0,1817.0,1418.0,460.0,5.0,2760.0,2045.0,5.0,4.9,4.2,6.1,61.0,1995.0,3.0,6.0,130.0,177.0,350.0,228.0,8.1,9,2009,128.0,4.0,1.0,8.0,16.0,2.0,2,24
1.0,25/11/2024,57368.0,4,1.0,12.0,15990.0,20900.0,4140.0,1760.0,1500.0,352.0,5.0,2580.0,1600.0,5.0,,,,45.0,1197.0,1.0,5.0,62.0,84.0,118.0,165.0,13.5,1,2023,123.0,4.0,,30.0,17.0,1.0,2,25
3.0,25/11/2024,2962.0,6,3.0,36.0,76800.0,65204.0,4764.0,1890.0,1605.0,545.0,5.0,2873.0,2510.0,5.0,,,,62.0,1999.0,2.0,9.0,150.0,204.0,320.0,227.0,7.9,7,2024,,4.0,1.0,43.0,18.0,1.0,1,26
3.0,25/11/2024,5.0,6,1.0,36.0,82000.0,81301.0,4445.0,1850.0,1412.0,370.0,5.0,2729.0,2130.0,5.0,8.4,5.8,10.9,51.0,1991.0,2.0,8.0,310.0,422.0,500.0,270.0,3.9,2,2024,192.0,4.0,1.0,43.0,19.0,1.0,1,27
3.0,25/11/2024,2543.0,6,4.0,36.0,48900.0,52100.0,4688.0,1830.0,1450.0,395.0,5.0,2729.0,2215.0,4.0,,,,35.0,1332.0,1.0,8.0,160.0,218.0,270.0,229.0,7.6,6,2024,,4.0,1.0,43.0,11.0,5.0,1,28
3.0,25/11/2024,2969.0,6,3.0,36.0,41500.0,44630.0,4419.0,1796.0,1562.0,455.0,5.0,2729.0,2000.0,5.0,,,,43.0,1332.0,1.0,7.0,120.0,163.0,270.0,223.0,8.4,4,2024,,4.0,1.0,43.0,20.0,1.0,1,29
3.0,25/11/2024,3404.0,6,4.0,36.0,45000.0,49529.0,4419.0,1796.0,1574.0,405.0,5.0,2729.0,2240.0,5.0,,,,35.0,1332.0,1.0,8.0,160.0,218.0,450.0,223.0,7.6,7,2024,,4.0,1.0,43.0,20.0,5.0,1,30
3.0,25/11/2024,1926.0,6,4.0,36.0,40500.0,42521.0,4419.0,1796.0,1452.0,310.0,5.0,2729.0,2155.0,5.0,1.4,,,35.0,1332.0,1.0,8.0,160.0,218.0,450.0,235.0,6.6,1,2024,32.0,4.0,1.0,43.0,19.0,5.0,1,31
3.0,25/11/2024,3360.0,6,1.0,24.0,66000.0,72218.0,4835.0,1860.0,1430.0,425.0,4.0,2873.0,2340.0,2.0,,,,66.0,1950.0,3.0,9.0,143.0,194.0,400.0,234.0,7.6,1,2024,,4.0,2.0,43.0,21.0,2.0,1,32
3.0,25/11/2024,3945.0,6,4.0,36.0,67300.0,73744.0,4946.0,1936.0,1510.0,430.0,5.0,3120.0,2895.0,4.0,,,,,,3.0,1.0,215.0,292.0,565.0,210.0,6.4,8,2023,,,,43.0,22.0,4.0,1,33
3.0,25/11/2024,6731.0,6,4.0,36.0,44800.0,59540.0,4463.0,1834.0,1624.0,340.0,5.0,2729.0,2535.0,5.0,,,,,,2.0,1.0,168.0,228.0,390.0,160.0,7.7,11,2023,,,,43.0,23.0,4.0,1,34
3.0,25/11/2024,8339.0,6,4.0,36.0,123500.0,172580.0,5125.0,1959.0,1718.0,645.0,5.0,3210.0,3375.0,5.0,,,,,,2.0,1.0,400.0,544.0,858.0,210.0,4.6,5,2023,,,,43.0,24.0,4.0,1,35
